site_id,site_name,latitude,longitude,altitude,area_classification
PA90,Hills Creek State Park,41.8043,-77.1903,476.0,rural
PQ04,St. Anicet,45.2,-74.0333,49.0,nan
PQ05,Mingan,50.2667,-64.2333,11.0,nan
PQ17,Chapais,49.8225,-74.9753,379.0,rural-remote
PR20,El Verde,18.3206,-65.82,380.0,nan
SC03,Savannah River,33.245,-81.6505,90.0,rural-remote
SC05,Cape Romain National Wildlife Refuge,32.943,-79.6592,1.0,rural
SC09,Alibi Hunt Club,33.2307,-80.3602,16.0,rural
SC19,Congaree Swamp,33.8145,-80.7809,34.0,rural
SD18,Eagle Butte,44.9931,-101.2403,742.0,rural-remote
SK12,Bratt'S Lake Bsrn,50.2003,-104.7111,593.0,rural-remote
SK27,Pinehouse,55.5121,-106.7245,404.0,rural-remote
SK28,Flat Valley,54.2953,-109.2119,500.0,rural-remote
TN11,Great Smoky Mountains National Park-Elkmont,35.6645,-83.5903,640.0,rural
TN12,Great Smoky Mountains National Park-Clingmans Dome,35.5622,-83.4972,2015.0,rural-remote
TX21,Longview,32.3786,-94.7117,103.0,rural
TX50,Fort Worth,32.6932,-97.2496,212.0,urban
UT97,Salt Lake City,40.7118,-111.9609,1297.0,urban
VA08,Culpeper,38.4222,-78.1044,163.0,rural
VA28,Shenandoah National Park-Big Meadows,38.5231,-78.4348,1072.0,rural
VA98,Harcum,37.5312,-76.4928,13.0,rural
VT99,Underhill,44.5283,-72.8684,399.0,rural
WA03,Makah National Fish Hatchery,48.2892,-124.6519,6.0,rural-remote
WA04,Confederated Tribes Of The Umatilla Indian Reservation,46.2026,-117.9539,693.0,nan
WA18,Seattle/Noaa,47.6843,-122.2588,11.0,urban
WI06,Uw Arboretum,43.041,-89.428,265.0,urban
WI07,Horicon Marsh,43.466,-88.621,287.0,rural
WI08,Brule River,46.7466,-91.6055,207.0,rural-remote
WI09,Popple River,45.7964,-88.3994,421.0,rural-remote
WI10,Potawatomi,45.5648,-88.8083,570.0,rural-remote
WI22,Milwaukee,43.0752,-87.8843,206.0,urban
WI31,Devil'S Lake,43.4352,-89.6801,389.0,rural
WI32,Middle Village,44.9308,-88.755,319.0,rural-remote
WI36,Trout Lake,46.0512,-89.6541,509.0,rural-remote
WI92,Chequamegon Bay,46.583,-90.9676,194.0,nan
WI99,Lake Geneva,42.5792,-88.5006,288.0,rural
WV99,Canaan Valley Institute,39.1191,-79.4522,988.0,rural-remote
WY06,Pinedale,42.929,-109.7875,2388.0,rural-remote
WY07,Yellowstone National Park - Yellowstone Lake,44.5654,-110.4003,2468.0,rural-remote
WY08,Yellowstone National Park-Tower Falls,44.9166,-110.4203,1912.0,rural-remote
WY26,Roundtop Mountain,42.5299,-108.72,2534.0,rural-remote
