site_id,site_name,latitude,longitude,altitude,state,region
A428,SENHOR DO BONFIM,-10.44305555,-40.14833333,532.09,BA,NE
A429,BARRA,-11.08472221,-43.13888888,407.5,BA,NE
A430,PIATA,-13.15555555,-41.77416666,1283.95,BA,NE
A431,CONDE,-12.03583333,-37.68388888,31.9,BA,NE
A432,BURITIRAMA,-10.72305554,-43.65111111,506.06,BA,NE
A433,BRUMADO,-14.18194443,-41.67222221,473.37,BA,NE
A434,AMARGOSA,-13.00944444,-39.61694443,397.8,BA,NE
A435,UAUA,-9.8336111,-39.49555555,450.6,BA,NE
A436,QUEIMADAS,-10.98472221,-39.61694443,310.11,BA,NE
A437,UNA,-15.28027777,-39.09138888,74.08,BA,NE
A438,MARAU,-13.90694444,-38.97222221,6.24,BA,NE
A439,IBOTIRAMA,-12.19305555,-43.21333333,425.12,BA,NE
A440,JACOBINA,-11.205,-40.465,440.78,BA,NE
A441,SERRINHA,-11.66472222,-39.02305554,337.79,BA,NE
A442,EUCLIDES DA CUNHA,-10.53722221,-38.99666666,431.96,BA,NE
A443,DELFINO,-10.455,-41.20694444,646.24,BA,NE
A444,VALENCA,-13.3436111,-39.12666666,93.12,BA,NE
A445,IPIAU,-14.17138888,-39.69249999,132.11,BA,NE
A446,ITAPETINGA,-15.24472221,-40.22944443,271.48,BA,NE
A447,BELMONTE,-16.08805555,-39.21527777,89.67,BA,NE
A448,CURACA,-9.00138888,-39.9125,370.0,BA,NE
A449,PILAO ARCADO,-10.01833332,-42.50027777,385.0,BA,NE
A450,JEREMOABO,-10.08083332,-38.34583333,261.0,BA,NE
A451,ITABAIANA,-10.67166666,-37.47138888,213.0,SE,NE
A452,FORMOSA DO RIO PRETO,-11.05222222,-45.20083333,488.0,BA,NE
A453,NOSSA SENHORA DA GLORIA,-10.20777777,-37.43194443,271.0,SE,NE
A455,ITAMARAJU,-17.00694444,-39.55805555,110.0,BA,NE
A456,SALVADOR (RADIO FAROL),-12.80833333,-38.49583333,31.0,BA,NE
A458,RIBEIRA DO AMPARO,-11.05861111,-38.44416666,182.0,BA,NE
A502,BARBACENA,-21.22833332,-43.76777777,1168.76,MG,SE
A505,ARAXA,-19.60583333,-46.94972221,1018.32,MG,SE
A506,MONTES CLAROS,-16.68638888,-43.84388888,645.87,MG,SE
A507,UBERLANDIA,-18.91694443,-48.25555555,874.77,MG,SE
