site_id,site_name,latitude,longitude,altitude,area_classification
DRAGONPondokUpeh,Dragon Pondok Upeh,5.33325,100.22661,16.0,nan
DRAGONPusanNU,Dragon Pusan Nu,35.235354,129.082493,78.0,nan
DRAGONPylesville,Dragon Pylesville,39.67515,-76.405349,158.0,nan
DRAGONRockyFlats,Dragon Rocky Flats,39.912795,-105.188575,1803.0,nan
DRAGONSPBRK,Dragon Spbrk,39.0581,-77.0058,110.0,nan
DRAGONSanggye,Dragon Sanggye,37.65885,127.06845,35.0,nan
DRAGONSeabrookPark,Dragon Seabrookpark,29.583047,-95.015544,4.0,nan
DRAGONShafter,Dragon Shafter,35.50361,-119.2725,86.0,nan
DRAGONSinjeong,Dragon Sinjeong,37.52341,126.85863,27.100000381469727,nan
DRAGONSmithPoint,Dragon Smith Point,29.546244,-94.786969,1.0,nan
DRAGONSoha,Dragon Soha,37.45213,126.8847,48.0,nan
DRAGONStJohnsIs,Dragon St Johns Is,1.21795,103.849615,15.0,nan
DRAGONSuwa,Dragon Suwa,36.045552,138.108754,766.0,nan
DRAGONTakayama,Dragon Takayama,36.252778,137.3045,1296.0,nan
DRAGONTemasekPoly,Dragon Temasek Poly,1.344821,103.930621,10.0,nan
DRAGONTranquility,Dragon Tranquility,36.63434,-120.38234,43.0,nan
DRAGONTsukuba,Dragon Tsukuba,36.050556,140.120278,30.0,nan
DRAGONUHSugarland,Dragon Uh Sugarland,29.5741,-95.652,22.0,nan
DRAGONUHWLiberty,Dragon Uh W Liberty,30.0583,-94.9781,24.0,nan
DRAGONUMRLB,Dragon Umrlb,38.891262,-76.814106,44.0,nan
DRAGONUiTM,Dragon Uitm,5.38313,100.41631,7.0,nan
DRAGONWSTFD,Dragon Wstfd,39.301577,-76.946248,173.0,nan
DRAGONWelch,Dragon Welch,39.63878,-105.13951,1743.0,nan
DRAGONWeldCoTwr,Dragon Weld Co Twr,40.38636,-104.737445,1484.0,nan
DRAGONWestHouston,Dragon West Houston,29.833056,-95.656944,34.0,nan
DRAGONWileyFord,Dragon Wileyford,39.610446,-78.773648,217.0,nan
DRAGONYishunITE,Dragon Yishun Ite,1.434638,103.844876,2.0,nan
Dahkla,Dahkla,23.716667,-15.95,12.0,nan
Dakar,Dakar,14.394167,-16.958611,21.0,nan
DakarBelair,Dakar Belair,14.7017,-17.4256,15.0,nan
Dalanzadgad,Dalanzadgad,43.577222,104.419167,1470.0,nan
Dalma,Dalma,24.502222,52.331667,16.0,nan
Darwin,Darwin,-12.424,130.8915,29.0,nan
Davos,Davos,46.81281,9.84369,1589.0,nan
Dayton,Dayton,39.775977,-84.109618,243.0,nan
DeadSea,Dead Sea,31.1,35.45,-410.0,nan
DebrzynaPULS,Debrzyna Puls,53.7825,16.592157,158.0,nan
DenverLaCasa,Denver Lacasa,39.77949,-105.00518,1601.0,nan
Dhabi,Dhabi,24.480556,54.382778,15.0,nan
Dhadnah,Dhadnah,25.512817,56.324717,81.0,nan
DhakaUniversity,Dhaka University,23.72839,90.39819,34.0,nan
Dharwar,Dharwar,15.428611,74.988611,746.0,nan
DibrugarhUniv,Dibrugarh Univ,27.45085,94.896889,119.0,nan
DigitalGlobeCal,Digitalglobe Cal,40.13889,-105.13722,1539.239990234375,nan
Dilar,Dilar,37.062981,-3.385925,2884.0,nan
Djougou,Djougou,9.76007,1.59901,467.0,nan
DoiAngKhang,Doi Ang Khang,19.93245,99.0454,1536.0,nan
DoiInthanon,Doi Inthanon,18.59,98.485556,2565.0,nan
DollySods,Dolly Sods,39.11,-79.43,1182.0,nan
Donetsk,Donetsk,48.020833,37.809444,214.0,nan
DongshaIsland,Dongsha Island,20.698556,116.728833,5.0,nan
Douliu,Douliu,23.7117,120.5448,60.0,nan
