site_id,site_name,latitude,longitude,altitude,country,municipality,area_classification,station_type,timezone,established_date,closed_date,network,network_code
AT60176,B116 Bruck an der Mur,47.42567,15.27053,504.0,Austria,8600 Bruck an der Mur,urban-periphery,traffic,UTC+01,25/03/2022 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60178,Weiz Bahnhofstraße,47.2157,15.62839,459.0,Austria,8160 Weiz,urban-periphery,background,UTC+01,28/10/1992 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60185,Klöch bei Bad Radkersburg,46.7672,15.9563,417.0,Austria,8493 Klöch,rural-regional,background,UTC+01,01/08/1995 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60190,Arnfels - Remschnigg,46.65195,15.36778,785.0,Austria,8455 Oberhaag,rural-regional,background,UTC+01,01/11/1992 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60191,Gratwein,47.1357,15.3232,382.0,Austria,8112 Gratwein-Straßengel,urban-periphery,industrial,UTC+01,01/03/1999 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60194,Mürzzuschlag Roseggerpark,47.60472,15.67306,679.0,Austria,8680 Mürzzuschlag,urban-periphery,background,UTC+01,01/01/2005 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60196,Grebenzen bei St. Lambrecht,47.04028,14.33073,1860.0,Austria,8813 St. Lambrecht ,rural-remote,background,UTC+01,24/07/2006 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60197,Leibnitz Lastenstraße,46.77833,15.54056,272.0,Austria,8430 Leibnitz,urban-periphery,background,UTC+01,08/11/2006 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60198,Fürstenfeld Ungartorweg,47.04735,16.07905,276.0,Austria,8280 Fürstenfeld,urban-periphery,background,UTC+01,01/11/2006 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT60G03,"Graz St. Leonhard, Herz-Jesu-Kirche",47.06978,15.45513,360.0,Austria,8010 Graz,urban-centre,background,UTC+01,01/01/2015 00:00:00,,Amt der Steiermärkischen Landesregierung,NET.06
AT72110,Innsbruck Fallmerayerstraße,47.26262,11.39236,577.0,Austria,6020 Innsbruck,urban-centre,background,UTC+01,01/11/1988 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72113,Innsbruck Sadrach,47.2699,11.37466,678.0,Austria,6020 Innsbruck,urban-periphery,background,UTC+01,21/12/2010 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72115,Vill Zenzenhof A13,47.22558,11.39206,732.0,Austria,6020 Innsbruck,urban-periphery,traffic,UTC+01,23/07/2019 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72227,Hall in Tirol Sportplatz,47.27807,11.5125,558.0,Austria,6060 Hall i.T.,urban-periphery,background,UTC+01,01/08/2006 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72315,Imst Inntalautobahn A12,47.21695,10.73572,719.0,Austria,6460 Imst,urban-periphery,traffic,UTC+01,01/11/2007 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72519,Brixlegg Innweg,47.42855,11.8718,519.0,Austria,6230 Brixlegg,rural,industrial,UTC+01,01/10/1979 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72530,Wörgl Josef Stelzhamer-Straße,47.48856,12.06663,508.0,Austria,6300 Wörgl,urban-periphery,background,UTC+01,01/04/1986 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72538,Kramsach Angerberg,47.45872,11.90995,602.0,Austria,6233 Kramsach,rural,background,UTC+01,01/09/1998 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72547,Kufstein Festung,47.58053,12.16925,526.0,Austria,6330 Kufstein,urban-periphery,background,UTC+01,01/03/1994 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72550,Kundl A12 Inntal-Autobahn,47.46892,11.95804,507.0,Austria,6250 Kundl,rural-regional,traffic,UTC+01,01/11/2006 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72620,St. Anton am Arlberg - Galzig,47.13368,10.22481,2147.0,Austria,6580 St. Anton am Arlberg,rural-remote,background,UTC+01,09/11/2020 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72705,Höfen Lärchbichl,47.46984,10.68228,877.0,Austria,6600 Reutte,rural-regional,background,UTC+01,01/06/1990 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72710,Heiterwang Ort L355,47.4476,10.74412,985.0,Austria,6611 Heiterwang,rural,background,UTC+01,01/02/2003 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72821,"Vomp A12 Inntalautobahn, Raststätte",47.34877,11.69203,557.0,Austria,6134 Vomp bei Schwaz,rural,traffic,UTC+01,15/05/1997 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT72912,Lienz Tiefbrunnen ,46.81911,12.76603,681.0,Austria,9900 Lienz,rural,background,UTC+01,01/10/2009 00:00:00,,Amt der Tiroler Landesregierung,NET.07
AT80706,Lustenau Wiesenrain,47.41016,9.65371,410.0,Austria,6890 Lustenau,urban-periphery,background,UTC+01,01/01/1991 00:00:00,,Umweltinstitut des Landes Vorarlberg,NET.08
AT80710,Lustenau Zollamt,47.43249,9.65048,410.0,Austria,6890 Lustenau,urban-periphery,traffic,UTC+01,22/05/2003 00:00:00,,Umweltinstitut des Landes Vorarlberg,NET.08
AT81919,Feldkirch Bärenkreuzung,47.23915,9.59745,460.0,Austria,6800 Feldkirch,urban-periphery,traffic,UTC+01,29/05/1998 00:00:00,,Umweltinstitut des Landes Vorarlberg,NET.08
AT82708,Bludenz Herrengasse,47.15648,9.82294,563.0,Austria,6700 Bludenz,urban-periphery,background,UTC+01,01/12/2003 00:00:00,,Umweltinstitut des Landes Vorarlberg,NET.08
AT82801,Wald am Arlberg S16,47.12886,10.03432,949.0,Austria,6752 Dalaas,rural,traffic,UTC+01,26/05/1994 00:00:00,,Umweltinstitut des Landes Vorarlberg,NET.08
AT900KE,Kaiser-Ebersdorf,48.15671,16.47605,158.0,Austria,1110 Wien,urban-periphery,industrial,UTC+01,01/03/1977 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
AT900ZA,Hohe Warte,48.24899,16.35708,210.0,Austria,1190 Wien,urban-periphery,background,UTC+01,01/09/1987 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
AT90TAB,Taborstraße,48.21674,16.38092,162.0,Austria,1020 Wien,urban-centre,traffic,UTC+01,27/09/1987 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
AT9LIES,Liesing - Carlberger-Gasse Gewerbegebiet,48.14125,16.30008,211.0,Austria,1230 Wien,urban-periphery,background,UTC+01,01/01/2015 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
AT9STAD,Stadlau,48.22636,16.45835,159.0,Austria,1220 Wien,urban-centre,background,UTC+01,01/05/1979 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
AT9STEF,Stephansplatz,48.20815,16.37325,172.0,Austria,"1010 Wien, Stephansplatz 1",urban-centre,background,UTC+01,01/01/2024 00:00:00,,Gemeinde Wien - MA22 Umweltschutz,NET.09
BA0001A,SARAJEVO-BJ,43.8675,18.42306,630.0,Bosnia and Herzegovina,Centar Sarajevo,urban-centre,background,UTC+01,01/09/2005 00:00:00,,Federal Hydrometeorological Institute Network,net-ba001a
BA0001G,IVAN SEDLO,43.77833,18.02028,970.0,Bosnia and Herzegovina,Hadzici,rural-regional,background,UTC+01,01/09/2005 00:00:00,,Federal Hydrometeorological Institute Network,net-ba001a
BA0002A,ZENICA - BRIST,44.20222,17.9005,341.0,Bosnia and Herzegovina,Zenica,urban-centre,industrial,UTC+01,01/01/2015 00:00:00,,Federal Hydrometeorological Institute Network,net-ba001a
