site_id,site_name,latitude,longitude,altitude,state,county,city,land_use,location_setting,owning_agency,established_date,closed_date,address,zip_code,area_classification
040130019,WEST PHOENIX,33.48378,-112.14256,333.0,Arizona,Maricopa,Phoenix,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1984-01-01,,3847 W EARLL DR-WEST PHOENIX STATION,85019.0,urban-periphery
040131003,MESA,33.41018,-111.86536,383.0,Arizona,Maricopa,Mesa,COMMERCIAL,SUBURBAN,Maricopa County Air Quality,1976-01-01,,"310 S BROOKS, MESA",85202.0,urban-periphery
040131004,NORTH PHOENIX,33.56031,-112.06619,378.0,Arizona,Maricopa,Phoenix,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1968-01-01,,"601 E BUTLER DR ,PHOENIX",85020.0,urban-periphery
040131010,FALCON FIELD,33.45244,-111.73327,384.0,Arizona,Maricopa,Mesa,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1989-06-01,,4530 E MCKELLIPS RD-FALCON FIELD STATION,85215.0,urban-periphery
040132001,GLENDALE,33.57453,-112.19193,350.0,Arizona,Maricopa,Glendale,RESIDENTIAL,RURAL,Maricopa County Air Quality,1974-01-01,,"6000 W OLIVE AVE,GLENDALE",85302.0,rural
040132005,PINNACLE PEAK,33.70639,-111.85575,733.0,Arizona,Maricopa,Scottsdale,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1988-02-01,,24301 N ALMA SCHOOL RD,85255.0,urban-periphery
040133002,CENTRAL PHOENIX,33.45797,-112.04659,339.0,Arizona,Maricopa,Phoenix,RESIDENTIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,1961-01-01,,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,85006.0,urban-centre
040133003,SOUTH SCOTTSDALE,33.47968,-111.91721,368.0,Arizona,Maricopa,Scottsdale,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,1973-01-01,,2857 N MILLER RD-S SCOTTSDALE STN,85257.0,urban-periphery
040134003,SOUTH PHOENIX,33.40314,-112.07526,326.0,Arizona,Maricopa,Phoenix,RESIDENTIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,1999-10-01,,"33 W TAMARISK AVE, PHOENIX",85041.0,urban-centre
040134004,WEST CHANDLER,33.29896,-111.88426,366.0,Arizona,Maricopa,Chandler,RESIDENTIAL,SUBURBAN,Maricopa County Air Quality,2000-07-01,,"275 S ELLIS, CHANDLER",85224.0,urban-periphery
040134005,TEMPE,33.41123,-111.93471,352.0,Arizona,Maricopa,Tempe,RESIDENTIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,2000-07-01,,"1525 S COLLEGE AVE, TEMPE",85281.0,urban-centre
040134006,HIGLEY,33.30995,-111.72003,391.0,Arizona,Maricopa,Gilbert,INDUSTRIAL,SUBURBAN,Maricopa County Air Quality,2000-07-01,,2207 SOUTH HIGLEY ROAD,85295.0,urban-periphery
040134008,CAVE CREEK,33.82169,-112.01726,587.0,Arizona,Maricopa,Cave Creek,DESERT,RURAL,Maricopa County Air Quality,2001-07-20,,37019 N. LAVA LANE. CAVE CREEK AZ,85331.0,rural
040134009,WEST 43RD AVENUE,33.40635,-112.14426,318.0,Arizona,Maricopa,Phoenix,INDUSTRIAL,URBAN AND CENTER CITY,Maricopa County Air Quality,2002-04-01,,3940 WEST BROADWAY ROAD PHOENIX AZ,85043.0,urban-centre
040134010,DYSART,33.63718,-112.34185,359.0,Arizona,Maricopa,Surprise,COMMERCIAL,SUBURBAN,Maricopa County Air Quality,2003-07-01,,16825 N. DYSART,85374.0,urban-periphery
